idade,trabalho,estado civil,educação,atraso,casa,empréstimo,contato,mês,dia,duração,ncontatos,anterior
42,,casado(a),,não,sim,sim,telefone móvel,agosto,segunda-feira,longa,2,nenhum
34,escritório,casado(a),graduação,não,sim,não,telefone móvel,novembro,terça-feira,curta,1,nenhum
20,,solteiro(a),,não,,,telefone móvel,abril,segunda-feira,média,3,nenhum
31,terceirizados,solteiro(a),ensino médio,não,sim,não,telefone móvel,setembro,quinta-feira,longa,1,mais de um
56,empreendedor,solteiro(a),,,não,não,telefone fixo,julho,quarta-feira,longa,1,nenhum
50,trabalhador manual,divorciado(a),ensino médio,não,não,não,telefone fixo,novembro,segunda-feira,média,1,nenhum
30,especialista,casado(a),ensino técnico,não,não,não,telefone móvel,julho,quarta-feira,média,2,nenhum
38,escritório,casado(a),graduação,não,sim,sim,telefone móvel,agosto,terça-feira,média,2,nenhum
51,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,abril,sexta-feira,curta,3,nenhum
33,,solteiro(a),ensino médio,não,não,não,telefone móvel,setembro,terça-feira,longa,2,apenas um
38,escritório,casado(a),graduação,,sim,não,telefone móvel,agosto,segunda-feira,curta,1,nenhum
31,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,agosto,quinta-feira,curta,1,nenhum
25,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,abril,quinta-feira,curta,3,nenhum
58,aposentado,casado(a),básico,não,sim,não,telefone móvel,maio,quinta-feira,média,1,mais de um
51,escritório,casado(a),básico,não,não,não,telefone móvel,agosto,sexta-feira,média,3,nenhum
31,escritório,casado(a),graduação,não,não,não,telefone fixo,maio,segunda-feira,média,2,nenhum
37,empreendedor,casado(a),graduação,não,sim,não,telefone móvel,julho,quarta-feira,média,2,nenhum
55,trabalhador manual,casado(a),graduação,não,não,sim,telefone fixo,maio,quinta-feira,curta,4,nenhum
36,trabalhador manual,casado(a),,não,sim,não,telefone móvel,julho,segunda-feira,média,4,nenhum
45,terceirizados,casado(a),ensino médio,,sim,não,telefone fixo,maio,quinta-feira,longa,2,nenhum
42,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,abril,sexta-feira,média,1,apenas um
30,escritório,casado(a),graduação,não,não,não,telefone móvel,agosto,segunda-feira,curta,2,nenhum
28,trabalhador manual,solteiro(a),ensino médio,não,sim,não,telefone móvel,junho,segunda-feira,média,2,apenas um
55,escritório,solteiro(a),graduação,,sim,não,telefone móvel,agosto,terça-feira,média,1,nenhum
44,do lar,casado(a),básico,,não,não,telefone móvel,julho,quarta-feira,curta,1,nenhum
42,empreendedor,casado(a),graduação,não,sim,não,telefone móvel,novembro,terça-feira,longa,1,nenhum
52,escritório,casado(a),básico,,sim,não,telefone móvel,julho,quarta-feira,média,2,nenhum
27,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,abril,quinta-feira,média,1,nenhum
34,terceirizados,casado(a),ensino médio,não,sim,não,telefone móvel,julho,terça-feira,longa,4,nenhum
22,,solteiro(a),ensino médio,não,sim,não,telefone fixo,junho,terça-feira,curta,1,mais de um
27,escritório,solteiro(a),ensino médio,não,sim,sim,telefone fixo,junho,quarta-feira,longa,1,nenhum
39,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,abril,segunda-feira,média,2,nenhum
32,especialista,solteiro(a),graduação,não,sim,não,telefone móvel,novembro,quinta-feira,média,5,nenhum
58,aposentado,casado(a),básico,,sim,não,telefone móvel,agosto,sexta-feira,curta,6,nenhum
39,escritório,casado(a),básico,não,não,não,telefone móvel,julho,quinta-feira,curta,6,nenhum
31,trabalhador manual,divorciado(a),ensino médio,,não,não,telefone móvel,maio,quarta-feira,longa,1,apenas um
36,escritório,solteiro(a),graduação,não,não,não,telefone móvel,julho,segunda-feira,curta,5,nenhum
39,trabalhador manual,casado(a),básico,,não,não,telefone fixo,maio,quarta-feira,curta,9,nenhum
27,,solteiro(a),ensino médio,não,não,não,telefone fixo,junho,segunda-feira,longa,1,nenhum
33,,solteiro(a),graduação,não,sim,não,telefone fixo,maio,quinta-feira,média,1,nenhum
35,trabalhador manual,solteiro(a),básico,,sim,não,telefone móvel,maio,sexta-feira,longa,4,apenas um
30,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,terça-feira,longa,1,nenhum
30,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,média,1,nenhum
70,aposentado,divorciado(a),ensino técnico,não,sim,não,telefone fixo,junho,sexta-feira,longa,5,nenhum
37,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,novembro,quinta-feira,longa,3,nenhum
59,do lar,solteiro(a),ensino técnico,não,não,não,telefone móvel,abril,segunda-feira,média,1,apenas um
31,terceirizados,solteiro(a),ensino médio,não,sim,não,telefone fixo,maio,quinta-feira,curta,4,nenhum
30,especialista,casado(a),ensino técnico,não,não,não,telefone móvel,maio,sexta-feira,longa,2,mais de um
57,terceirizados,casado(a),ensino médio,,sim,não,telefone móvel,novembro,sexta-feira,média,5,nenhum
30,terceirizados,casado(a),ensino médio,,sim,não,telefone móvel,maio,quinta-feira,curta,1,apenas um
48,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,quarta-feira,média,1,nenhum
41,escritório,divorciado(a),ensino médio,não,não,não,telefone móvel,julho,segunda-feira,longa,2,nenhum
38,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,julho,quarta-feira,longa,10,nenhum
33,especialista,solteiro(a),graduação,,sim,não,telefone móvel,maio,sexta-feira,média,3,nenhum
43,desempregado,casado(a),básico,,sim,não,telefone fixo,julho,terça-feira,média,1,nenhum
57,escritório,casado(a),graduação,não,não,não,telefone móvel,agosto,quarta-feira,longa,3,nenhum
47,gerência,casado(a),graduação,não,sim,não,telefone móvel,julho,segunda-feira,curta,2,nenhum
41,escritório,divorciado(a),graduação,não,não,não,telefone móvel,abril,quarta-feira,média,2,nenhum
29,desempregado,casado(a),ensino técnico,não,sim,não,telefone fixo,agosto,sexta-feira,média,6,nenhum
47,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,agosto,terça-feira,média,3,nenhum
70,aposentado,casado(a),ensino médio,não,não,não,telefone móvel,setembro,sexta-feira,média,1,nenhum
47,escritório,divorciado(a),graduação,não,não,não,telefone fixo,outubro,segunda-feira,longa,1,nenhum
41,escritório,casado(a),graduação,,sim,não,telefone fixo,junho,segunda-feira,longa,1,nenhum
35,trabalhador manual,casado(a),básico,,não,não,telefone fixo,junho,segunda-feira,curta,1,nenhum
45,trabalhador manual,solteiro(a),ensino médio,,não,não,telefone fixo,julho,segunda-feira,média,2,nenhum
35,especialista,divorciado(a),ensino técnico,não,sim,não,telefone móvel,julho,segunda-feira,média,4,nenhum
33,escritório,solteiro(a),graduação,não,não,não,telefone móvel,julho,quinta-feira,média,6,nenhum
45,especialista,solteiro(a),graduação,não,não,não,telefone móvel,novembro,segunda-feira,longa,3,nenhum
33,escritório,casado(a),graduação,não,não,não,telefone móvel,maio,quinta-feira,curta,4,nenhum
56,gerência,casado(a),básico,,sim,não,telefone móvel,maio,sexta-feira,média,1,nenhum
38,escritório,casado(a),graduação,não,sim,sim,telefone móvel,abril,quinta-feira,média,1,nenhum
41,escritório,divorciado(a),ensino técnico,não,sim,não,telefone fixo,agosto,sexta-feira,curta,1,nenhum
25,trabalhador manual,solteiro(a),básico,não,sim,não,telefone móvel,junho,quarta-feira,longa,2,nenhum
54,do lar,casado(a),graduação,não,sim,não,telefone móvel,abril,quinta-feira,longa,1,apenas um
40,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,abril,quinta-feira,longa,1,apenas um
57,,casado(a),,não,não,não,telefone fixo,outubro,sexta-feira,média,1,nenhum
42,gerência,casado(a),graduação,não,não,não,telefone móvel,maio,sexta-feira,média,1,nenhum
38,especialista,solteiro(a),ensino técnico,não,sim,sim,telefone móvel,agosto,segunda-feira,longa,1,nenhum
43,gerência,casado(a),ensino médio,,não,não,telefone móvel,julho,terça-feira,média,5,nenhum
45,escritório,casado(a),básico,,não,não,telefone fixo,maio,segunda-feira,curta,2,nenhum
53,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,julho,quarta-feira,média,1,nenhum
39,especialista,casado(a),ensino médio,não,não,não,telefone móvel,agosto,terça-feira,média,1,nenhum
49,trabalhador manual,casado(a),ensino médio,não,sim,não,telefone fixo,junho,quinta-feira,longa,2,nenhum
38,trabalhador manual,solteiro(a),básico,não,não,não,telefone fixo,maio,sexta-feira,média,1,nenhum
28,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,terça-feira,média,3,nenhum
36,trabalhador manual,solteiro(a),ensino técnico,não,sim,não,telefone móvel,junho,segunda-feira,média,1,nenhum
36,especialista,casado(a),graduação,não,,,telefone móvel,agosto,quinta-feira,longa,2,nenhum
39,gerência,solteiro(a),graduação,não,não,não,telefone móvel,maio,quarta-feira,média,2,nenhum
34,escritório,casado(a),ensino médio,não,não,não,telefone móvel,julho,quarta-feira,média,1,nenhum
36,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,segunda-feira,longa,2,nenhum
42,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,julho,segunda-feira,longa,3,nenhum
33,escritório,solteiro(a),graduação,não,sim,sim,telefone móvel,agosto,quinta-feira,longa,5,nenhum
54,escritório,casado(a),graduação,,sim,não,telefone móvel,agosto,segunda-feira,longa,3,nenhum
49,escritório,divorciado(a),ensino médio,não,não,não,telefone fixo,maio,terça-feira,média,2,nenhum
39,trabalhador manual,solteiro(a),básico,não,sim,não,telefone fixo,maio,quinta-feira,média,2,nenhum
30,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,outubro,sexta-feira,longa,1,mais de um
27,escritório,solteiro(a),graduação,não,não,não,telefone móvel,novembro,sexta-feira,longa,3,nenhum
38,escritório,casado(a),graduação,não,não,não,telefone fixo,junho,terça-feira,média,6,nenhum
61,aposentado,divorciado(a),básico,não,não,não,telefone móvel,junho,segunda-feira,curta,5,nenhum
31,trabalhador manual,casado(a),básico,,não,não,telefone móvel,maio,quarta-feira,média,1,apenas um
60,aposentado,casado(a),ensino técnico,não,não,não,telefone fixo,dezembro,terça-feira,longa,1,apenas um
58,empreendedor,casado(a),graduação,,,,telefone fixo,julho,segunda-feira,longa,1,nenhum
62,escritório,casado(a),ensino médio,não,sim,sim,telefone móvel,novembro,quarta-feira,longa,2,nenhum
55,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,agosto,terça-feira,média,1,nenhum
37,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,quinta-feira,longa,2,nenhum
31,especialista,casado(a),graduação,não,sim,sim,telefone móvel,abril,quinta-feira,longa,2,nenhum
41,especialista,casado(a),ensino técnico,,sim,não,telefone fixo,junho,segunda-feira,curta,1,nenhum
35,escritório,casado(a),graduação,não,não,não,telefone móvel,novembro,sexta-feira,longa,1,nenhum
58,trabalhador manual,divorciado(a),ensino técnico,não,sim,não,telefone fixo,maio,terça-feira,média,2,nenhum
32,escritório,divorciado(a),ensino médio,não,sim,não,telefone móvel,maio,segunda-feira,longa,1,apenas um
32,terceirizados,solteiro(a),ensino médio,não,não,não,telefone móvel,maio,sexta-feira,média,2,nenhum
77,aposentado,casado(a),graduação,não,sim,não,telefone móvel,setembro,sexta-feira,longa,1,apenas um
47,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,terça-feira,média,1,nenhum
59,gerência,casado(a),graduação,não,sim,não,telefone móvel,novembro,quarta-feira,longa,2,nenhum
36,especialista,casado(a),graduação,não,sim,sim,telefone móvel,setembro,quinta-feira,curta,3,nenhum
42,trabalhador manual,casado(a),básico,não,não,sim,telefone fixo,maio,quinta-feira,média,5,nenhum
28,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,junho,terça-feira,longa,2,nenhum
36,escritório,solteiro(a),graduação,não,não,não,telefone móvel,julho,sexta-feira,longa,1,nenhum
24,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,maio,quinta-feira,longa,2,nenhum
37,terceirizados,divorciado(a),graduação,não,não,não,telefone fixo,junho,terça-feira,média,1,nenhum
40,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,abril,quarta-feira,média,2,nenhum
27,empreendedor,casado(a),graduação,não,sim,não,telefone fixo,junho,sexta-feira,média,3,nenhum
38,especialista,solteiro(a),graduação,não,não,não,telefone móvel,junho,terça-feira,longa,1,apenas um
35,escritório,solteiro(a),graduação,não,não,não,telefone fixo,março,terça-feira,média,1,apenas um
45,especialista,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,quarta-feira,longa,3,nenhum
45,escritório,casado(a),básico,não,sim,não,telefone móvel,maio,segunda-feira,média,1,nenhum
44,escritório,casado(a),graduação,,sim,não,telefone móvel,agosto,sexta-feira,média,3,nenhum
37,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,novembro,terça-feira,longa,1,apenas um
69,aposentado,solteiro(a),graduação,não,não,não,telefone móvel,setembro,segunda-feira,longa,2,apenas um
42,gerência,casado(a),ensino médio,não,não,sim,telefone fixo,maio,terça-feira,média,2,nenhum
60,desempregado,casado(a),básico,,sim,não,telefone móvel,julho,quinta-feira,longa,9,nenhum
47,escritório,casado(a),ensino técnico,não,não,não,telefone fixo,junho,segunda-feira,longa,2,nenhum
27,escritório,casado(a),ensino médio,não,sim,não,telefone fixo,junho,terça-feira,média,2,nenhum
52,trabalhador manual,divorciado(a),,,,,telefone fixo,junho,quarta-feira,longa,2,nenhum
50,empreendedor,divorciado(a),graduação,não,não,sim,telefone móvel,julho,quarta-feira,média,2,nenhum
30,especialista,solteiro(a),graduação,não,sim,não,telefone móvel,junho,quarta-feira,curta,1,nenhum
41,terceirizados,casado(a),ensino médio,não,sim,não,telefone móvel,abril,sexta-feira,média,2,apenas um
31,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,quarta-feira,média,1,nenhum
30,escritório,solteiro(a),graduação,não,não,não,telefone móvel,março,segunda-feira,média,2,nenhum
38,escritório,casado(a),graduação,não,não,não,telefone fixo,maio,sexta-feira,curta,1,nenhum
39,escritório,solteiro(a),ensino médio,não,sim,sim,telefone móvel,abril,quinta-feira,longa,1,apenas um
42,trabalhador manual,casado(a),básico,,,,telefone móvel,maio,terça-feira,média,2,nenhum
30,trabalhador manual,solteiro(a),básico,,sim,não,telefone móvel,maio,sexta-feira,média,1,nenhum
45,escritório,casado(a),graduação,não,sim,não,telefone móvel,maio,terça-feira,média,1,nenhum
51,empreendedor,casado(a),básico,não,sim,não,telefone fixo,maio,segunda-feira,longa,5,nenhum
64,aposentado,casado(a),ensino médio,não,não,não,telefone móvel,outubro,quarta-feira,longa,1,nenhum
38,desempregado,casado(a),graduação,,não,não,telefone fixo,junho,segunda-feira,média,1,nenhum
36,gerência,casado(a),graduação,não,,,telefone móvel,agosto,terça-feira,longa,1,nenhum
46,especialista,divorciado(a),ensino técnico,não,sim,sim,telefone móvel,novembro,quinta-feira,longa,1,nenhum
41,especialista,solteiro(a),graduação,não,não,não,telefone fixo,maio,quarta-feira,média,1,nenhum
31,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,junho,sexta-feira,média,1,nenhum
28,,solteiro(a),graduação,não,sim,não,telefone móvel,junho,quarta-feira,média,3,nenhum
36,escritório,casado(a),graduação,não,não,não,telefone móvel,julho,quinta-feira,longa,2,apenas um
37,trabalhador manual,solteiro(a),ensino médio,não,não,não,telefone fixo,maio,segunda-feira,longa,2,nenhum
27,escritório,solteiro(a),graduação,não,não,não,telefone móvel,outubro,sexta-feira,longa,1,nenhum
36,especialista,casado(a),ensino técnico,não,não,não,telefone fixo,maio,quinta-feira,longa,3,nenhum
29,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,julho,terça-feira,longa,1,nenhum
41,gerência,casado(a),básico,não,sim,não,telefone móvel,abril,quinta-feira,curta,1,apenas um
37,empreendedor,casado(a),graduação,não,sim,não,telefone fixo,junho,terça-feira,média,7,nenhum
53,trabalhador manual,casado(a),básico,não,sim,sim,telefone fixo,junho,sexta-feira,média,2,nenhum
53,terceirizados,casado(a),ensino médio,não,sim,não,telefone móvel,novembro,terça-feira,longa,1,nenhum
33,escritório,solteiro(a),graduação,não,não,não,telefone móvel,julho,sexta-feira,longa,2,nenhum
40,gerência,divorciado(a),graduação,não,não,não,telefone fixo,maio,segunda-feira,média,2,nenhum
47,empreendedor,casado(a),graduação,não,sim,não,telefone móvel,julho,quinta-feira,longa,1,nenhum
28,trabalhador manual,casado(a),básico,,não,não,telefone fixo,maio,segunda-feira,longa,3,nenhum
41,escritório,casado(a),graduação,,não,não,telefone móvel,novembro,segunda-feira,longa,1,nenhum
32,terceirizados,casado(a),ensino médio,,não,não,telefone fixo,maio,quarta-feira,média,2,nenhum
39,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,julho,sexta-feira,curta,2,nenhum
46,trabalhador manual,casado(a),,não,sim,sim,telefone fixo,maio,segunda-feira,longa,2,nenhum
44,especialista,casado(a),ensino técnico,,sim,não,telefone móvel,agosto,segunda-feira,longa,7,nenhum
47,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,agosto,segunda-feira,longa,2,nenhum
40,especialista,casado(a),ensino técnico,,sim,não,telefone móvel,agosto,quarta-feira,média,2,nenhum
39,trabalhador manual,solteiro(a),graduação,,não,não,telefone fixo,maio,terça-feira,longa,1,nenhum
42,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,quinta-feira,curta,9,nenhum
34,escritório,casado(a),graduação,não,não,sim,telefone móvel,agosto,terça-feira,média,2,nenhum
45,trabalhador manual,divorciado(a),básico,não,não,não,telefone fixo,junho,quarta-feira,curta,2,nenhum
61,escritório,casado(a),graduação,não,não,não,telefone fixo,junho,quarta-feira,longa,3,nenhum
38,escritório,casado(a),ensino médio,não,sim,não,telefone fixo,junho,quinta-feira,longa,1,nenhum
32,terceirizados,solteiro(a),básico,não,,,telefone móvel,maio,sexta-feira,longa,1,mais de um
32,gerência,casado(a),ensino médio,não,não,não,telefone móvel,julho,segunda-feira,longa,3,nenhum
33,trabalhador manual,divorciado(a),básico,,sim,não,telefone fixo,julho,quarta-feira,curta,1,nenhum
49,trabalhador manual,divorciado(a),básico,,sim,não,telefone fixo,junho,segunda-feira,média,2,nenhum
59,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,junho,quinta-feira,curta,1,nenhum
32,escritório,casado(a),ensino médio,não,sim,sim,telefone fixo,maio,sexta-feira,média,1,nenhum
40,terceirizados,divorciado(a),ensino médio,não,sim,não,telefone móvel,novembro,quarta-feira,média,3,apenas um
53,gerência,divorciado(a),graduação,,não,não,telefone móvel,novembro,segunda-feira,curta,2,nenhum
48,trabalhador manual,divorciado(a),básico,,sim,não,telefone fixo,maio,sexta-feira,longa,3,nenhum
32,escritório,casado(a),graduação,não,não,não,telefone fixo,julho,segunda-feira,curta,1,nenhum
34,escritório,casado(a),graduação,não,sim,não,telefone móvel,setembro,quinta-feira,média,2,nenhum
32,especialista,solteiro(a),ensino médio,não,não,não,telefone móvel,agosto,quarta-feira,longa,3,nenhum
60,trabalhador manual,casado(a),básico,,,,telefone móvel,julho,segunda-feira,longa,4,nenhum
45,trabalhador manual,casado(a),básico,,sim,não,telefone fixo,maio,segunda-feira,média,4,nenhum
69,aposentado,casado(a),graduação,não,não,não,telefone móvel,março,quarta-feira,média,1,nenhum
49,especialista,casado(a),ensino técnico,não,sim,sim,telefone móvel,dezembro,segunda-feira,média,3,nenhum
29,empreendedor,solteiro(a),básico,não,não,não,telefone fixo,maio,terça-feira,média,3,nenhum
39,trabalhador manual,casado(a),básico,,não,não,telefone móvel,julho,quinta-feira,longa,1,nenhum
32,,solteiro(a),graduação,não,não,não,telefone móvel,outubro,quarta-feira,longa,1,nenhum
57,aposentado,casado(a),básico,,não,não,telefone móvel,julho,terça-feira,longa,3,nenhum
46,escritório,casado(a),básico,não,sim,não,telefone fixo,maio,quinta-feira,média,2,nenhum
33,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,junho,quinta-feira,curta,2,nenhum
40,escritório,solteiro(a),ensino médio,não,não,não,telefone fixo,junho,terça-feira,média,3,nenhum
48,especialista,casado(a),ensino técnico,,sim,não,telefone móvel,agosto,sexta-feira,média,3,nenhum
30,trabalhador manual,solteiro(a),básico,não,não,não,telefone móvel,novembro,quarta-feira,média,1,nenhum
43,gerência,casado(a),graduação,,sim,não,telefone fixo,maio,quarta-feira,média,1,nenhum
29,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,quinta-feira,média,1,nenhum
50,escritório,casado(a),graduação,não,sim,sim,telefone fixo,maio,terça-feira,curta,1,nenhum
39,trabalhador manual,casado(a),ensino técnico,não,sim,não,telefone fixo,maio,terça-feira,longa,1,nenhum
47,terceirizados,casado(a),básico,não,não,não,telefone móvel,maio,quarta-feira,longa,1,apenas um
19,,solteiro(a),,não,não,não,telefone móvel,setembro,quinta-feira,longa,1,apenas um
32,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,segunda-feira,longa,1,nenhum
45,especialista,divorciado(a),graduação,não,sim,não,telefone móvel,agosto,quinta-feira,média,5,nenhum
34,especialista,solteiro(a),ensino técnico,não,sim,sim,telefone fixo,maio,segunda-feira,longa,2,nenhum
41,especialista,casado(a),ensino técnico,,não,não,telefone fixo,maio,segunda-feira,média,2,nenhum
28,trabalhador manual,casado(a),básico,,,,telefone fixo,maio,terça-feira,longa,2,nenhum
25,,solteiro(a),básico,não,sim,não,telefone móvel,abril,terça-feira,média,1,apenas um
34,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,agosto,segunda-feira,média,1,apenas um
33,escritório,casado(a),ensino médio,não,não,não,telefone móvel,março,quinta-feira,curta,2,nenhum
43,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,maio,segunda-feira,longa,2,nenhum
40,escritório,casado(a),ensino médio,não,não,não,telefone fixo,julho,sexta-feira,média,1,nenhum
27,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,junho,terça-feira,longa,1,nenhum
42,escritório,casado(a),graduação,não,sim,não,telefone móvel,dezembro,quinta-feira,longa,1,nenhum
31,gerência,solteiro(a),graduação,não,não,sim,telefone móvel,junho,sexta-feira,média,7,nenhum
56,escritório,casado(a),ensino médio,não,sim,não,telefone fixo,junho,sexta-feira,curta,3,nenhum
42,desempregado,casado(a),básico,,sim,não,telefone fixo,junho,segunda-feira,curta,3,nenhum
32,especialista,casado(a),graduação,não,não,não,telefone móvel,agosto,segunda-feira,curta,1,apenas um
45,trabalhador manual,solteiro(a),básico,,sim,não,telefone fixo,maio,sexta-feira,longa,2,nenhum
38,gerência,casado(a),,não,não,não,telefone móvel,dezembro,quarta-feira,média,3,nenhum
51,trabalhador manual,divorciado(a),básico,não,não,não,telefone fixo,junho,quarta-feira,média,2,nenhum
32,terceirizados,casado(a),ensino médio,,não,não,telefone fixo,maio,terça-feira,curta,1,nenhum
55,do lar,casado(a),básico,não,não,não,telefone móvel,agosto,segunda-feira,curta,2,nenhum
49,desempregado,casado(a),básico,não,sim,não,telefone fixo,junho,segunda-feira,curta,1,nenhum
51,escritório,divorciado(a),graduação,não,sim,não,telefone móvel,maio,quarta-feira,longa,3,nenhum
48,empreendedor,casado(a),graduação,não,sim,não,telefone fixo,junho,segunda-feira,curta,2,nenhum
53,terceirizados,divorciado(a),ensino médio,não,sim,não,telefone fixo,maio,quinta-feira,média,1,nenhum
40,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,quarta-feira,longa,4,nenhum
29,escritório,solteiro(a),graduação,não,não,não,telefone móvel,junho,segunda-feira,curta,1,apenas um
55,trabalhador manual,casado(a),,,sim,sim,telefone móvel,agosto,sexta-feira,média,1,nenhum
30,especialista,casado(a),,não,sim,não,telefone móvel,julho,sexta-feira,média,1,nenhum
31,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,novembro,quinta-feira,longa,1,nenhum
26,trabalhador manual,solteiro(a),básico,não,não,sim,telefone móvel,julho,sexta-feira,longa,1,nenhum
38,empreendedor,casado(a),graduação,,sim,não,telefone fixo,junho,sexta-feira,longa,8,nenhum
49,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,junho,sexta-feira,curta,2,nenhum
46,gerência,casado(a),graduação,não,não,não,telefone fixo,abril,quarta-feira,média,4,nenhum
35,trabalhador manual,casado(a),básico,,não,sim,telefone móvel,maio,quinta-feira,média,1,nenhum
31,escritório,casado(a),graduação,não,sim,sim,telefone móvel,abril,quinta-feira,longa,2,nenhum
21,,solteiro(a),ensino médio,não,não,não,telefone móvel,novembro,quarta-feira,média,1,mais de um
50,especialista,casado(a),ensino técnico,não,não,não,telefone fixo,maio,sexta-feira,longa,2,nenhum
27,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,abril,segunda-feira,longa,1,nenhum
27,,solteiro(a),ensino médio,não,não,não,telefone móvel,julho,terça-feira,média,1,apenas um
38,escritório,casado(a),ensino médio,não,não,sim,telefone móvel,maio,quinta-feira,média,2,nenhum
49,especialista,casado(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,curta,6,nenhum
52,terceirizados,casado(a),ensino médio,,sim,sim,telefone móvel,julho,sexta-feira,média,5,nenhum
35,gerência,casado(a),graduação,não,sim,sim,telefone fixo,maio,quarta-feira,média,1,nenhum
43,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,junho,segunda-feira,longa,1,nenhum
34,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,outubro,segunda-feira,média,1,nenhum
34,escritório,solteiro(a),graduação,não,sim,sim,telefone móvel,maio,quinta-feira,longa,2,nenhum
33,do lar,casado(a),graduação,não,sim,não,telefone fixo,junho,sexta-feira,longa,3,nenhum
75,aposentado,casado(a),básico,não,não,não,telefone móvel,agosto,quinta-feira,longa,1,apenas um
54,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,novembro,quarta-feira,longa,3,nenhum
34,escritório,casado(a),ensino médio,não,não,sim,telefone móvel,maio,quinta-feira,média,1,apenas um
48,do lar,divorciado(a),básico,,não,não,telefone móvel,julho,segunda-feira,longa,1,nenhum
29,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,julho,quinta-feira,longa,4,nenhum
39,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,novembro,terça-feira,média,1,nenhum
48,escritório,casado(a),básico,não,sim,sim,telefone fixo,julho,quinta-feira,curta,4,nenhum
57,empreendedor,casado(a),básico,não,não,sim,telefone móvel,novembro,quarta-feira,longa,2,apenas um
60,aposentado,divorciado(a),básico,,sim,não,telefone fixo,junho,sexta-feira,curta,2,nenhum
41,trabalhador manual,casado(a),básico,,não,não,telefone fixo,junho,quarta-feira,curta,3,nenhum
42,especialista,solteiro(a),graduação,,não,não,telefone fixo,maio,quarta-feira,curta,8,nenhum
55,trabalhador manual,casado(a),ensino médio,não,não,não,telefone móvel,julho,quinta-feira,longa,1,nenhum
31,escritório,casado(a),ensino médio,não,sim,não,telefone fixo,maio,segunda-feira,longa,4,nenhum
26,,solteiro(a),ensino médio,não,não,não,telefone móvel,maio,quinta-feira,curta,7,nenhum
32,trabalhador manual,solteiro(a),básico,não,sim,não,telefone móvel,novembro,quinta-feira,média,4,nenhum
37,especialista,casado(a),ensino técnico,não,não,não,telefone móvel,agosto,sexta-feira,curta,1,nenhum
57,gerência,casado(a),ensino técnico,não,não,não,telefone móvel,novembro,segunda-feira,curta,2,apenas um
61,empreendedor,casado(a),básico,não,não,não,telefone móvel,agosto,terça-feira,curta,13,nenhum
72,aposentado,casado(a),básico,,,,telefone móvel,agosto,terça-feira,média,1,nenhum
30,escritório,solteiro(a),ensino técnico,não,não,não,telefone fixo,novembro,sexta-feira,longa,4,apenas um
