idade,trabalho,estado civil,educação,atraso,casa,empréstimo,contato,mês,dia,duração,ncontatos,anterior,produto
40,terceirizados,casado(a),ensino médio,,não,não,telefone fixo,junho,sexta-feira,curta,9,nenhum,não
57,trabalhador manual,casado(a),básico,,não,não,telefone móvel,julho,segunda-feira,curta,3,nenhum,não
46,trabalhador manual,casado(a),básico,,não,não,telefone fixo,junho,quarta-feira,média,3,nenhum,não
37,gerência,casado(a),graduação,não,não,não,telefone móvel,junho,quinta-feira,média,1,nenhum,sim
33,trabalhador manual,solteiro(a),básico,não,sim,não,telefone móvel,maio,terça-feira,longa,2,apenas um,não
55,especialista,casado(a),graduação,não,sim,não,telefone móvel,agosto,quarta-feira,curta,1,nenhum,não
40,gerência,divorciado(a),graduação,não,sim,não,telefone móvel,julho,terça-feira,longa,1,nenhum,sim
26,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,maio,sexta-feira,média,6,mais de um,não
31,gerência,casado(a),graduação,não,não,não,telefone fixo,maio,terça-feira,longa,4,nenhum,não
30,especialista,casado(a),graduação,não,sim,não,telefone móvel,julho,quarta-feira,longa,2,nenhum,sim
50,escritório,casado(a),graduação,não,sim,sim,telefone móvel,abril,terça-feira,média,2,mais de um,sim
52,escritório,solteiro(a),graduação,,não,não,telefone móvel,novembro,sexta-feira,média,2,apenas um,não
39,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,maio,quinta-feira,média,1,apenas um,não
43,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,julho,quinta-feira,longa,5,nenhum,sim
44,terceirizados,casado(a),ensino médio,,sim,não,telefone móvel,maio,quinta-feira,longa,2,nenhum,sim
28,especialista,solteiro(a),ensino técnico,não,sim,sim,telefone fixo,junho,segunda-feira,longa,1,nenhum,não
40,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,terça-feira,média,2,nenhum,não
41,trabalhador manual,casado(a),ensino técnico,,não,não,telefone fixo,junho,sexta-feira,longa,2,nenhum,sim
36,escritório,casado(a),ensino médio,não,não,não,telefone móvel,maio,terça-feira,média,2,nenhum,não
57,aposentado,casado(a),básico,não,não,não,telefone móvel,agosto,segunda-feira,curta,2,nenhum,não
47,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,agosto,quinta-feira,longa,2,mais de um,não
33,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,sexta-feira,longa,3,nenhum,não
33,trabalhador manual,casado(a),ensino médio,não,não,sim,telefone fixo,maio,sexta-feira,curta,2,nenhum,não
63,especialista,casado(a),,não,não,não,telefone móvel,março,segunda-feira,curta,2,mais de um,sim
58,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,agosto,quinta-feira,longa,1,nenhum,sim
39,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,julho,quinta-feira,média,2,nenhum,não
26,especialista,solteiro(a),básico,não,sim,não,telefone móvel,junho,sexta-feira,curta,2,nenhum,sim
39,terceirizados,casado(a),ensino médio,não,sim,não,telefone móvel,maio,sexta-feira,longa,1,apenas um,sim
37,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,novembro,quinta-feira,média,2,nenhum,não
29,trabalhador manual,casado(a),,,não,não,telefone fixo,junho,quarta-feira,longa,3,nenhum,não
42,especialista,casado(a),graduação,não,sim,não,telefone móvel,agosto,segunda-feira,curta,1,nenhum,não
42,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,julho,quinta-feira,longa,5,nenhum,não
30,escritório,solteiro(a),graduação,não,não,não,telefone móvel,maio,quinta-feira,média,1,mais de um,sim
48,trabalhador manual,casado(a),ensino médio,,sim,não,telefone fixo,maio,terça-feira,média,1,nenhum,não
32,trabalhador manual,solteiro(a),ensino médio,não,sim,não,telefone móvel,março,terça-feira,média,1,nenhum,sim
41,desempregado,solteiro(a),básico,não,não,não,telefone móvel,junho,terça-feira,longa,1,nenhum,sim
29,trabalhador manual,solteiro(a),ensino médio,,sim,não,telefone fixo,maio,segunda-feira,média,7,nenhum,não
26,,solteiro(a),graduação,não,sim,sim,telefone fixo,setembro,segunda-feira,média,1,nenhum,não
47,especialista,divorciado(a),ensino técnico,não,não,não,telefone móvel,agosto,quarta-feira,longa,2,nenhum,não
25,terceirizados,solteiro(a),ensino médio,não,não,não,telefone móvel,julho,quinta-feira,longa,2,nenhum,não
58,terceirizados,casado(a),ensino médio,não,sim,sim,telefone móvel,maio,segunda-feira,longa,3,nenhum,sim
32,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,setembro,sexta-feira,curta,7,nenhum,não
27,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,junho,sexta-feira,curta,2,apenas um,não
58,trabalhador manual,divorciado(a),básico,,não,não,telefone móvel,julho,terça-feira,longa,6,nenhum,sim
34,terceirizados,casado(a),ensino médio,não,não,não,telefone fixo,maio,quinta-feira,curta,1,apenas um,não
52,empreendedor,solteiro(a),básico,não,sim,não,telefone móvel,maio,quarta-feira,longa,3,nenhum,sim
41,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,maio,sexta-feira,longa,1,nenhum,sim
53,especialista,casado(a),básico,não,sim,não,telefone móvel,julho,quinta-feira,média,1,apenas um,sim
31,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,agosto,quarta-feira,média,2,nenhum,não
35,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,segunda-feira,média,3,nenhum,não
58,especialista,casado(a),básico,,não,sim,telefone fixo,maio,terça-feira,curta,1,nenhum,não
30,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,maio,sexta-feira,curta,4,nenhum,não
56,escritório,casado(a),graduação,não,sim,não,telefone móvel,julho,sexta-feira,longa,1,mais de um,sim
37,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,abril,quinta-feira,longa,1,nenhum,não
52,aposentado,casado(a),básico,não,,,telefone fixo,maio,segunda-feira,curta,1,nenhum,não
32,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,maio,quarta-feira,média,2,apenas um,não
39,do lar,casado(a),básico,,sim,não,telefone fixo,maio,sexta-feira,média,4,nenhum,não
47,escritório,casado(a),básico,,sim,não,telefone fixo,junho,sexta-feira,longa,3,nenhum,sim
53,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,agosto,segunda-feira,média,2,nenhum,não
49,trabalhador manual,casado(a),básico,,não,sim,telefone móvel,maio,quarta-feira,média,4,apenas um,não
37,terceirizados,casado(a),ensino médio,não,sim,não,telefone móvel,julho,sexta-feira,longa,3,nenhum,não
30,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,segunda-feira,curta,7,nenhum,não
65,aposentado,casado(a),graduação,não,não,não,telefone fixo,abril,segunda-feira,média,3,nenhum,não
32,escritório,casado(a),ensino técnico,não,não,sim,telefone móvel,dezembro,segunda-feira,longa,2,apenas um,sim
35,especialista,solteiro(a),graduação,não,não,não,telefone móvel,outubro,quinta-feira,média,1,apenas um,sim
48,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,terça-feira,longa,1,apenas um,não
31,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,agosto,terça-feira,média,1,nenhum,não
41,escritório,casado(a),ensino médio,não,não,não,telefone móvel,novembro,segunda-feira,curta,1,nenhum,não
32,escritório,casado(a),ensino médio,não,não,não,telefone móvel,julho,quinta-feira,longa,1,nenhum,sim
50,especialista,casado(a),básico,não,sim,não,telefone fixo,maio,quinta-feira,média,6,nenhum,não
35,escritório,casado(a),básico,não,não,não,telefone fixo,junho,quinta-feira,média,1,nenhum,não
56,empreendedor,casado(a),básico,não,sim,não,telefone móvel,maio,quinta-feira,longa,1,nenhum,não
26,desempregado,solteiro(a),ensino técnico,não,não,sim,telefone móvel,abril,quarta-feira,média,3,nenhum,não
26,escritório,casado(a),,não,não,não,telefone fixo,maio,terça-feira,longa,1,nenhum,não
37,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,julho,terça-feira,média,1,nenhum,não
33,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,abril,sexta-feira,curta,2,nenhum,não
58,especialista,casado(a),ensino técnico,não,sim,não,telefone fixo,junho,terça-feira,média,2,nenhum,não
53,trabalhador manual,casado(a),básico,,não,não,telefone fixo,maio,quarta-feira,curta,2,nenhum,não
30,especialista,casado(a),ensino médio,,não,não,telefone móvel,julho,quinta-feira,longa,1,nenhum,não
32,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,agosto,terça-feira,média,1,apenas um,não
55,especialista,casado(a),,,não,não,telefone fixo,maio,sexta-feira,curta,2,nenhum,não
26,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,julho,quarta-feira,curta,2,nenhum,não
27,empreendedor,solteiro(a),ensino médio,não,sim,não,telefone móvel,abril,sexta-feira,longa,1,apenas um,sim
71,escritório,casado(a),básico,não,não,não,telefone móvel,setembro,terça-feira,longa,1,mais de um,sim
57,terceirizados,casado(a),ensino médio,não,não,não,telefone fixo,novembro,quinta-feira,longa,3,nenhum,sim
30,escritório,casado(a),básico,não,não,não,telefone móvel,maio,sexta-feira,curta,3,nenhum,não
58,escritório,casado(a),graduação,,não,não,telefone móvel,agosto,terça-feira,curta,2,nenhum,não
55,gerência,casado(a),ensino médio,não,não,não,telefone móvel,agosto,quarta-feira,média,3,apenas um,não
37,terceirizados,casado(a),ensino médio,,não,não,telefone móvel,maio,sexta-feira,longa,1,nenhum,não
49,escritório,divorciado(a),ensino médio,não,sim,sim,telefone fixo,junho,quarta-feira,longa,2,nenhum,sim
38,escritório,divorciado(a),graduação,não,sim,não,telefone fixo,maio,quinta-feira,curta,2,nenhum,não
22,,solteiro(a),básico,não,sim,não,telefone móvel,julho,terça-feira,média,2,nenhum,sim
40,escritório,casado(a),graduação,não,sim,não,telefone móvel,novembro,terça-feira,longa,1,nenhum,não
40,trabalhador manual,casado(a),básico,,sim,não,telefone fixo,maio,terça-feira,longa,2,nenhum,não
33,terceirizados,solteiro(a),,não,sim,não,telefone móvel,maio,sexta-feira,média,3,nenhum,não
36,desempregado,casado(a),ensino médio,não,sim,não,telefone móvel,agosto,segunda-feira,longa,1,apenas um,sim
34,escritório,casado(a),graduação,não,não,sim,telefone móvel,julho,terça-feira,média,2,nenhum,não
43,do lar,solteiro(a),básico,,sim,não,telefone fixo,maio,terça-feira,média,1,nenhum,não
31,especialista,solteiro(a),ensino técnico,não,não,não,telefone móvel,julho,terça-feira,média,1,nenhum,não
54,especialista,casado(a),ensino técnico,não,não,não,telefone móvel,maio,segunda-feira,média,3,nenhum,sim
34,terceirizados,divorciado(a),ensino médio,não,não,não,telefone móvel,julho,quinta-feira,longa,1,nenhum,não
31,especialista,casado(a),graduação,,sim,não,telefone fixo,maio,quinta-feira,longa,1,nenhum,não
42,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,agosto,quarta-feira,curta,2,nenhum,não
26,escritório,casado(a),,não,não,não,telefone móvel,novembro,quinta-feira,média,1,nenhum,sim
40,terceirizados,casado(a),ensino médio,,não,não,telefone móvel,agosto,segunda-feira,média,2,nenhum,não
36,trabalhador manual,casado(a),básico,,não,não,telefone fixo,maio,quarta-feira,longa,2,nenhum,não
48,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,sexta-feira,longa,1,nenhum,sim
40,desempregado,solteiro(a),graduação,não,sim,não,telefone móvel,dezembro,segunda-feira,longa,1,mais de um,sim
30,escritório,casado(a),graduação,não,não,não,telefone fixo,junho,segunda-feira,curta,4,nenhum,não
48,escritório,casado(a),ensino médio,,não,sim,telefone móvel,abril,sexta-feira,longa,1,nenhum,não
34,trabalhador manual,solteiro(a),básico,não,não,não,telefone móvel,abril,quinta-feira,longa,1,nenhum,sim
37,terceirizados,casado(a),ensino médio,não,não,não,telefone fixo,maio,terça-feira,média,1,nenhum,não
86,do lar,casado(a),básico,,sim,não,telefone móvel,abril,terça-feira,longa,1,apenas um,sim
44,escritório,divorciado(a),ensino médio,não,não,não,telefone móvel,julho,quarta-feira,longa,4,nenhum,sim
34,escritório,solteiro(a),graduação,não,não,não,telefone móvel,julho,sexta-feira,longa,1,nenhum,sim
57,trabalhador manual,casado(a),,não,não,não,telefone móvel,agosto,segunda-feira,média,3,nenhum,não
64,aposentado,divorciado(a),graduação,não,sim,sim,telefone móvel,julho,quinta-feira,média,1,apenas um,não
37,escritório,casado(a),graduação,não,não,não,telefone móvel,maio,quarta-feira,longa,6,nenhum,não
56,escritório,casado(a),graduação,não,não,não,telefone fixo,maio,segunda-feira,média,14,nenhum,não
47,trabalhador manual,solteiro(a),ensino técnico,não,não,não,telefone fixo,maio,quarta-feira,curta,5,nenhum,não
38,especialista,solteiro(a),graduação,não,não,não,telefone móvel,maio,terça-feira,média,2,nenhum,não
45,trabalhador manual,solteiro(a),básico,não,sim,não,telefone móvel,março,terça-feira,longa,2,nenhum,sim
36,escritório,casado(a),graduação,não,sim,não,telefone móvel,abril,quinta-feira,longa,1,apenas um,sim
48,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,outubro,sexta-feira,longa,1,apenas um,sim
33,escritório,casado(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,curta,1,nenhum,não
47,gerência,casado(a),,não,sim,não,telefone móvel,novembro,quinta-feira,longa,2,nenhum,sim
45,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,novembro,quarta-feira,média,1,nenhum,não
32,escritório,solteiro(a),graduação,não,sim,não,telefone fixo,março,terça-feira,média,1,mais de um,sim
45,desempregado,solteiro(a),básico,não,sim,não,telefone fixo,junho,terça-feira,curta,2,nenhum,não
40,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,agosto,quinta-feira,longa,2,apenas um,sim
56,especialista,casado(a),graduação,não,sim,sim,telefone móvel,maio,quinta-feira,longa,2,apenas um,sim
43,trabalhador manual,casado(a),básico,não,não,sim,telefone móvel,julho,quinta-feira,longa,1,nenhum,sim
26,terceirizados,divorciado(a),ensino médio,não,sim,sim,telefone móvel,junho,quinta-feira,longa,2,nenhum,sim
47,do lar,casado(a),básico,não,sim,não,telefone fixo,maio,terça-feira,média,1,nenhum,não
34,especialista,solteiro(a),ensino médio,não,sim,não,telefone móvel,julho,sexta-feira,longa,2,nenhum,sim
60,escritório,divorciado(a),básico,não,sim,não,telefone móvel,maio,quarta-feira,média,1,nenhum,sim
49,do lar,casado(a),básico,não,sim,não,telefone móvel,agosto,terça-feira,média,3,nenhum,não
30,gerência,solteiro(a),básico,não,sim,sim,telefone móvel,julho,sexta-feira,longa,2,nenhum,não
55,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,terça-feira,curta,1,nenhum,não
52,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,novembro,segunda-feira,longa,1,nenhum,não
29,empreendedor,casado(a),básico,não,sim,não,telefone móvel,maio,sexta-feira,longa,5,nenhum,sim
30,escritório,solteiro(a),graduação,não,não,não,telefone móvel,abril,quarta-feira,longa,1,apenas um,não
44,escritório,casado(a),ensino médio,não,não,não,telefone móvel,julho,segunda-feira,longa,2,nenhum,sim
31,escritório,casado(a),graduação,não,não,não,telefone fixo,agosto,quarta-feira,longa,3,nenhum,sim
33,,solteiro(a),graduação,não,sim,não,telefone móvel,abril,segunda-feira,longa,4,nenhum,sim
38,escritório,casado(a),graduação,não,não,não,telefone móvel,novembro,segunda-feira,média,2,apenas um,sim
30,trabalhador manual,solteiro(a),básico,não,sim,não,telefone fixo,maio,quarta-feira,curta,7,nenhum,não
32,terceirizados,casado(a),básico,não,não,não,telefone fixo,maio,quinta-feira,longa,2,nenhum,sim
38,do lar,solteiro(a),graduação,não,não,não,telefone móvel,maio,sexta-feira,média,2,nenhum,sim
34,gerência,casado(a),graduação,não,sim,não,telefone móvel,novembro,terça-feira,curta,1,nenhum,não
69,aposentado,solteiro(a),graduação,não,sim,não,telefone móvel,setembro,sexta-feira,curta,1,apenas um,não
44,desempregado,casado(a),graduação,,sim,não,telefone fixo,junho,quinta-feira,longa,1,nenhum,não
60,trabalhador manual,casado(a),ensino técnico,não,não,não,telefone fixo,outubro,terça-feira,curta,1,nenhum,não
67,aposentado,casado(a),ensino técnico,não,não,sim,telefone móvel,março,terça-feira,longa,1,mais de um,sim
31,desempregado,solteiro(a),,não,sim,não,telefone móvel,novembro,quarta-feira,longa,2,nenhum,sim
33,especialista,solteiro(a),ensino médio,não,sim,não,telefone móvel,agosto,terça-feira,curta,3,nenhum,não
36,gerência,casado(a),graduação,não,não,não,telefone móvel,abril,quinta-feira,longa,1,nenhum,sim
27,escritório,casado(a),ensino médio,não,não,não,telefone móvel,junho,quarta-feira,longa,1,nenhum,não
48,gerência,casado(a),graduação,não,sim,não,telefone móvel,agosto,terça-feira,média,8,nenhum,não
34,terceirizados,divorciado(a),ensino médio,não,não,sim,telefone móvel,julho,quinta-feira,curta,7,nenhum,não
32,especialista,solteiro(a),graduação,não,não,não,telefone móvel,novembro,quarta-feira,longa,1,nenhum,sim
79,aposentado,casado(a),básico,não,sim,não,telefone móvel,abril,terça-feira,média,1,nenhum,sim
37,escritório,solteiro(a),ensino médio,não,não,sim,telefone fixo,maio,sexta-feira,média,2,nenhum,não
33,desempregado,divorciado(a),ensino médio,não,sim,não,telefone móvel,novembro,quarta-feira,longa,1,nenhum,não
26,trabalhador manual,solteiro(a),básico,não,não,não,telefone fixo,junho,quarta-feira,longa,2,nenhum,não
39,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,quarta-feira,média,1,nenhum,não
30,trabalhador manual,casado(a),básico,,não,não,telefone móvel,abril,segunda-feira,curta,1,apenas um,não
29,trabalhador manual,solteiro(a),básico,não,não,não,telefone fixo,maio,sexta-feira,longa,2,nenhum,não
60,gerência,casado(a),básico,não,sim,não,telefone móvel,março,segunda-feira,média,2,nenhum,não
36,trabalhador manual,casado(a),básico,,sim,sim,telefone móvel,julho,sexta-feira,média,1,nenhum,não
73,aposentado,casado(a),básico,não,não,sim,telefone móvel,julho,sexta-feira,longa,4,apenas um,sim
22,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,junho,quarta-feira,média,1,nenhum,não
35,trabalhador manual,casado(a),,,sim,não,telefone fixo,maio,quarta-feira,longa,3,nenhum,sim
41,escritório,divorciado(a),graduação,não,sim,não,telefone móvel,agosto,quarta-feira,longa,2,nenhum,não
30,especialista,casado(a),básico,não,sim,sim,telefone fixo,junho,segunda-feira,média,4,nenhum,não
32,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,julho,quinta-feira,longa,1,nenhum,sim
37,escritório,casado(a),graduação,,sim,não,telefone móvel,julho,terça-feira,longa,1,nenhum,sim
78,aposentado,divorciado(a),básico,não,não,não,telefone móvel,maio,terça-feira,longa,1,nenhum,sim
29,especialista,solteiro(a),básico,não,sim,não,telefone móvel,maio,terça-feira,longa,1,nenhum,sim
34,especialista,casado(a),ensino técnico,não,não,não,telefone móvel,agosto,sexta-feira,curta,3,nenhum,não
47,gerência,casado(a),básico,não,não,não,telefone móvel,novembro,segunda-feira,curta,1,nenhum,não
30,trabalhador manual,casado(a),básico,não,sim,sim,telefone móvel,novembro,quarta-feira,média,1,apenas um,não
45,do lar,casado(a),básico,,sim,não,telefone móvel,julho,segunda-feira,curta,1,nenhum,não
58,aposentado,divorciado(a),ensino médio,não,sim,sim,telefone móvel,maio,quinta-feira,média,5,apenas um,não
37,terceirizados,casado(a),ensino médio,,sim,sim,telefone móvel,abril,sexta-feira,média,1,apenas um,não
52,trabalhador manual,casado(a),ensino técnico,não,sim,não,telefone móvel,dezembro,quarta-feira,média,3,nenhum,sim
53,especialista,divorciado(a),ensino técnico,não,não,não,telefone móvel,agosto,terça-feira,curta,1,nenhum,não
39,terceirizados,solteiro(a),graduação,não,não,não,telefone móvel,julho,terça-feira,longa,4,nenhum,não
57,empreendedor,casado(a),graduação,não,sim,sim,telefone fixo,junho,quinta-feira,curta,1,nenhum,não
33,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,agosto,quarta-feira,longa,1,nenhum,não
32,empreendedor,casado(a),graduação,não,não,não,telefone móvel,maio,sexta-feira,longa,1,apenas um,sim
25,terceirizados,solteiro(a),ensino médio,não,não,não,telefone móvel,julho,quinta-feira,longa,3,nenhum,sim
42,empreendedor,casado(a),básico,não,sim,não,telefone fixo,junho,quarta-feira,curta,3,nenhum,não
31,escritório,casado(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,média,5,nenhum,não
34,gerência,solteiro(a),graduação,não,não,não,telefone fixo,maio,sexta-feira,média,1,nenhum,não
30,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,agosto,quinta-feira,longa,2,nenhum,sim
38,terceirizados,divorciado(a),ensino médio,não,não,não,telefone fixo,julho,terça-feira,média,3,nenhum,não
47,especialista,casado(a),ensino técnico,não,sim,sim,telefone móvel,novembro,sexta-feira,longa,4,nenhum,não
24,,solteiro(a),básico,não,sim,sim,telefone móvel,setembro,segunda-feira,média,3,mais de um,sim
29,terceirizados,casado(a),,não,não,sim,telefone fixo,maio,sexta-feira,média,1,nenhum,não
86,do lar,divorciado(a),básico,,sim,não,telefone fixo,outubro,sexta-feira,média,2,nenhum,não
49,especialista,divorciado(a),ensino técnico,não,sim,não,telefone móvel,agosto,quarta-feira,curta,3,nenhum,não
57,trabalhador manual,divorciado(a),básico,não,sim,não,telefone móvel,novembro,quarta-feira,longa,3,nenhum,sim
36,escritório,solteiro(a),graduação,não,não,não,telefone móvel,julho,sexta-feira,longa,5,apenas um,sim
32,escritório,solteiro(a),graduação,não,não,não,telefone fixo,maio,quarta-feira,curta,8,nenhum,não
32,,solteiro(a),,não,sim,não,telefone móvel,agosto,quinta-feira,longa,2,nenhum,sim
34,terceirizados,casado(a),graduação,não,não,não,telefone fixo,junho,quinta-feira,média,1,nenhum,não
34,especialista,casado(a),ensino técnico,não,sim,não,telefone fixo,maio,segunda-feira,longa,4,nenhum,não
49,trabalhador manual,casado(a),básico,,não,não,telefone fixo,junho,quinta-feira,longa,2,nenhum,não
51,trabalhador manual,casado(a),básico,,não,sim,telefone fixo,julho,sexta-feira,curta,1,nenhum,não
34,escritório,casado(a),graduação,não,não,sim,telefone fixo,junho,segunda-feira,curta,1,nenhum,não
43,escritório,divorciado(a),graduação,não,não,não,telefone móvel,setembro,quarta-feira,longa,1,apenas um,sim
45,especialista,casado(a),ensino médio,não,sim,sim,telefone móvel,agosto,sexta-feira,longa,2,nenhum,não
34,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,julho,terça-feira,longa,1,nenhum,sim
49,terceirizados,casado(a),ensino técnico,,sim,sim,telefone móvel,julho,quarta-feira,longa,3,nenhum,não
35,escritório,divorciado(a),graduação,não,não,não,telefone móvel,novembro,quinta-feira,longa,2,apenas um,sim
59,escritório,casado(a),graduação,não,sim,não,telefone fixo,outubro,segunda-feira,curta,1,nenhum,não
28,especialista,solteiro(a),ensino médio,não,não,não,telefone móvel,julho,quarta-feira,longa,2,nenhum,não
33,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,setembro,segunda-feira,longa,1,nenhum,sim
36,empreendedor,solteiro(a),graduação,não,sim,não,telefone móvel,julho,quarta-feira,longa,1,nenhum,sim
40,empreendedor,casado(a),básico,não,sim,não,telefone móvel,julho,sexta-feira,curta,1,nenhum,não
35,escritório,divorciado(a),graduação,não,não,não,telefone móvel,agosto,terça-feira,média,2,nenhum,sim
40,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,quinta-feira,longa,3,nenhum,sim
36,especialista,casado(a),graduação,,não,não,telefone móvel,novembro,quarta-feira,longa,1,nenhum,não
34,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,junho,terça-feira,média,3,nenhum,sim
30,escritório,solteiro(a),graduação,não,não,sim,telefone móvel,agosto,segunda-feira,curta,6,nenhum,não
55,terceirizados,casado(a),básico,não,não,não,telefone móvel,agosto,quarta-feira,média,1,nenhum,não
39,trabalhador manual,solteiro(a),ensino médio,não,não,não,telefone móvel,março,quarta-feira,média,1,apenas um,sim
40,empreendedor,casado(a),graduação,,sim,não,telefone móvel,abril,segunda-feira,curta,1,nenhum,não
63,escritório,divorciado(a),graduação,não,sim,não,telefone móvel,novembro,quarta-feira,longa,1,nenhum,não
32,escritório,solteiro(a),ensino médio,,sim,não,telefone móvel,agosto,terça-feira,curta,3,nenhum,não
34,terceirizados,casado(a),ensino médio,não,sim,sim,telefone móvel,novembro,quinta-feira,longa,1,nenhum,não
56,empreendedor,casado(a),ensino técnico,,não,não,telefone móvel,julho,sexta-feira,média,2,nenhum,não
55,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,julho,quinta-feira,média,2,nenhum,não
49,trabalhador manual,casado(a),ensino técnico,não,não,sim,telefone fixo,maio,quarta-feira,longa,4,nenhum,não
25,especialista,solteiro(a),básico,não,sim,não,telefone móvel,maio,segunda-feira,curta,6,nenhum,não
35,escritório,solteiro(a),graduação,,não,não,telefone fixo,julho,terça-feira,média,5,nenhum,não
54,escritório,casado(a),graduação,,não,não,telefone móvel,maio,quarta-feira,média,7,apenas um,não
43,escritório,divorciado(a),graduação,não,sim,sim,telefone móvel,agosto,segunda-feira,média,1,nenhum,não
34,especialista,casado(a),ensino técnico,não,sim,sim,telefone fixo,maio,quarta-feira,média,2,nenhum,não
32,especialista,casado(a),graduação,não,sim,não,telefone móvel,maio,segunda-feira,longa,1,nenhum,não
32,gerência,casado(a),graduação,não,sim,não,telefone móvel,novembro,segunda-feira,curta,1,nenhum,não
30,gerência,solteiro(a),graduação,não,sim,não,telefone fixo,maio,segunda-feira,média,2,nenhum,não
38,escritório,solteiro(a),graduação,não,não,não,telefone fixo,julho,sexta-feira,curta,11,nenhum,não
31,trabalhador manual,solteiro(a),básico,não,não,sim,telefone fixo,novembro,quarta-feira,curta,1,nenhum,não
45,desempregado,casado(a),básico,não,sim,sim,telefone fixo,maio,segunda-feira,longa,1,nenhum,não
33,trabalhador manual,casado(a),ensino técnico,não,não,sim,telefone fixo,maio,terça-feira,média,1,nenhum,não
34,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,junho,terça-feira,média,2,nenhum,não
38,terceirizados,casado(a),ensino médio,não,sim,não,telefone fixo,maio,sexta-feira,curta,1,apenas um,não
34,trabalhador manual,casado(a),básico,,sim,sim,telefone fixo,maio,sexta-feira,longa,2,nenhum,sim
51,do lar,casado(a),básico,não,sim,não,telefone fixo,novembro,terça-feira,média,2,nenhum,sim
29,trabalhador manual,solteiro(a),básico,,sim,não,telefone móvel,julho,quarta-feira,longa,1,nenhum,não
45,especialista,casado(a),ensino técnico,,não,sim,telefone móvel,agosto,segunda-feira,longa,1,nenhum,não
42,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,terça-feira,média,1,nenhum,sim
35,especialista,casado(a),graduação,não,sim,não,telefone móvel,maio,quinta-feira,curta,1,nenhum,não
51,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,terça-feira,longa,1,mais de um,sim
42,empreendedor,divorciado(a),,não,não,não,telefone móvel,maio,sexta-feira,longa,2,nenhum,sim
34,terceirizados,casado(a),ensino médio,não,sim,não,telefone móvel,maio,quarta-feira,longa,1,apenas um,sim
31,empreendedor,solteiro(a),graduação,não,não,não,telefone móvel,abril,quinta-feira,média,1,nenhum,não
34,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,maio,quinta-feira,longa,1,nenhum,sim
56,aposentado,casado(a),ensino médio,não,sim,não,telefone móvel,outubro,quinta-feira,longa,2,apenas um,sim
49,do lar,casado(a),básico,não,não,não,telefone móvel,agosto,segunda-feira,média,1,nenhum,não
37,escritório,solteiro(a),ensino médio,não,não,não,telefone fixo,junho,segunda-feira,curta,1,nenhum,não
